Lead_ID,College_Tier,Department,CGPA,Family_Income,Stage_Dropped,Time_to_First_Call,Followups,Call_Duration,Understands_Stipend,Understands_Experience,Primary_Concern,Trust_Score
L0,2,Mechanical,7.34,3-6L,After Understanding,18,0,20,No,No,Time,1
L1,4,IT,8.41,<3L,After Counselling,16,3,8,No,No,Fee,8
L2,3,Civil,9.56,3-6L,After Application,32,3,23,No,No,Difficulty,8
L3,3,ECE,9.13,<3L,After Counselling,28,4,3,No,No,Trust,4
L4,1,ECE,7.25,6-10L,After Understanding,32,1,23,No,No,Difficulty,7
L5,1,ECE,6.94,<3L,After Understanding,18,4,4,No,No,Trust,3
L6,1,CSE,6.2,6-10L,After Understanding,44,4,3,Yes,No,Job,9
L7,4,CSE,6.86,6-10L,After Application,34,1,22,Yes,No,Job,1
L8,3,ECE,5.56,3-6L,After Understanding,29,0,6,No,Yes,Fee,8
L9,3,Mechanical,9.86,<3L,After Application,21,3,19,Yes,No,Difficulty,7
L10,1,Mechanical,7.87,<3L,After Understanding,1,2,17,Yes,No,Time,8
L11,4,CSE,5.64,6-10L,Before Counselling,16,1,4,Yes,No,Job,5
L12,4,ECE,6.76,<3L,After Understanding,33,4,16,No,No,Job,8
L13,2,Mechanical,7.74,<3L,After Counselling,21,2,22,No,Yes,Trust,7
L14,1,CSE,7.66,3-6L,After Counselling,35,1,21,No,No,Fee,7
L15,1,ECE,5.18,<3L,Before Counselling,27,1,21,No,No,Fee,5
L16,2,IT,9.75,<3L,After Understanding,20,0,14,No,No,Trust,7
L17,3,ECE,6.38,3-6L,After Counselling,31,0,7,Yes,No,Time,1
L18,2,ECE,5.08,<3L,After Counselling,16,3,17,No,Yes,Job,8
L19,2,Civil,5.38,<3L,After Application,14,3,12,No,Yes,Fee,9
L20,3,Civil,7.9,3-6L,After Application,32,2,15,No,Yes,Trust,4
L21,1,IT,5.69,<3L,After Understanding,41,3,16,No,No,Difficulty,5
L22,2,IT,5.21,6-10L,Before Counselling,32,1,22,No,No,Fee,7
L23,2,ECE,6.9,<3L,After Understanding,2,1,6,No,No,Job,6
L24,2,Mechanical,8.11,3-6L,After Application,45,1,7,No,No,Job,6
L25,3,IT,5.56,3-6L,After Application,22,1,16,Yes,Yes,Job,7
L26,1,ECE,6.57,3-6L,After Understanding,37,0,20,No,No,Difficulty,9
L27,3,CSE,7.09,<3L,After Understanding,17,1,12,No,No,Difficulty,2
L28,3,Civil,5.8,<3L,After Understanding,32,1,21,Yes,Yes,Job,5
L29,1,Mechanical,7.53,6-10L,After Understanding,38,1,7,No,No,Trust,7
L30,3,ECE,5.43,<3L,Before Counselling,17,4,12,No,Yes,Trust,1
L31,1,CSE,5.23,3-6L,After Counselling,34,2,9,Yes,No,Job,7
L32,1,Civil,7.6,10L+,After Understanding,7,2,24,No,No,Trust,9
L33,4,CSE,6.24,3-6L,After Counselling,29,1,13,No,Yes,Time,9
L34,4,ECE,5.48,<3L,After Application,17,1,18,No,No,Job,7
L35,4,IT,7.12,<3L,After Counselling,24,2,2,No,No,Fee,6
L36,2,Civil,9.58,10L+,After Understanding,8,3,11,No,No,Time,1
L37,1,CSE,8.62,3-6L,After Counselling,23,4,15,Yes,Yes,Time,6
L38,3,IT,9.08,3-6L,After Understanding,33,4,8,No,Yes,Trust,4
L39,2,Mechanical,9.36,3-6L,After Understanding,29,3,19,No,No,Time,4
L40,1,ECE,9.86,6-10L,After Application,19,1,10,Yes,No,Difficulty,2
L41,2,ECE,8.82,6-10L,After Understanding,5,2,17,Yes,No,Trust,8
L42,1,Civil,8.04,<3L,After Application,37,4,11,No,No,Trust,9
L43,4,CSE,6.83,3-6L,Before Counselling,23,3,13,No,Yes,Difficulty,1
L44,2,Mechanical,5.91,3-6L,After Understanding,26,3,10,No,No,Time,7
L45,3,Civil,8.43,<3L,After Application,24,0,15,Yes,Yes,Trust,7
L46,2,Civil,9.97,6-10L,After Application,21,3,3,No,Yes,Trust,7
L47,3,CSE,7.34,<3L,After Understanding,33,0,11,No,No,Fee,4
L48,3,Mechanical,8.62,3-6L,After Counselling,26,0,23,No,Yes,Trust,6
L49,1,CSE,7.48,<3L,After Application,10,4,22,No,No,Trust,9
L50,4,ECE,7.16,<3L,Before Counselling,42,1,11,No,No,Difficulty,9
L51,3,IT,7.05,3-6L,After Counselling,29,1,3,Yes,No,Trust,4
L52,4,ECE,7.52,10L+,After Counselling,35,3,7,No,Yes,Trust,2
L53,4,ECE,6.83,3-6L,After Understanding,28,2,12,Yes,No,Time,2
L54,3,Civil,8.74,<3L,After Application,12,2,10,Yes,No,Trust,2
L55,4,ECE,9.37,3-6L,Before Counselling,44,0,4,No,Yes,Job,1
L56,1,Mechanical,9.41,<3L,After Application,7,3,20,No,No,Job,7
L57,1,ECE,6.14,<3L,Before Counselling,16,3,12,Yes,No,Fee,6
L58,1,Mechanical,9.48,<3L,After Application,20,1,5,Yes,No,Job,5
L59,2,CSE,6.71,<3L,After Understanding,29,2,16,Yes,No,Job,3
L60,2,Civil,6.55,3-6L,Before Counselling,35,4,13,Yes,Yes,Difficulty,3
L61,2,Mechanical,8.63,3-6L,After Understanding,28,3,5,Yes,No,Difficulty,1
L62,4,ECE,6.52,<3L,After Application,7,3,16,No,No,Fee,1
L63,2,Civil,5.26,6-10L,Before Counselling,22,1,18,Yes,No,Difficulty,8
L64,2,Civil,6.87,<3L,Before Counselling,14,4,19,No,No,Trust,6
L65,3,Mechanical,8.61,10L+,After Application,36,4,23,No,No,Fee,5
L66,1,Mechanical,6.63,3-6L,After Understanding,10,4,6,No,Yes,Trust,4
L67,4,IT,8.15,<3L,Before Counselling,2,4,11,Yes,No,Time,8
L68,1,IT,8.3,10L+,Before Counselling,22,2,21,No,No,Difficulty,9
L69,4,Civil,8.67,<3L,Before Counselling,16,0,10,No,No,Trust,1
L70,3,IT,9.49,3-6L,After Application,35,4,19,No,Yes,Time,2
L71,1,ECE,7.16,<3L,After Counselling,47,0,13,No,Yes,Difficulty,4
L72,1,CSE,5.83,6-10L,After Application,40,0,9,No,No,Difficulty,6
L73,4,Civil,6.59,3-6L,After Understanding,11,1,12,No,No,Fee,3
L74,3,CSE,7.16,<3L,After Counselling,43,4,5,No,Yes,Job,1
L75,3,IT,8.57,<3L,Before Counselling,43,2,10,Yes,Yes,Job,3
L76,3,Mechanical,5.07,6-10L,Before Counselling,33,1,5,No,No,Trust,8
L77,1,Civil,6.58,<3L,After Counselling,34,1,19,No,Yes,Fee,5
L78,2,IT,8.9,<3L,Before Counselling,33,0,15,No,No,Job,1
L79,1,ECE,8.35,3-6L,Before Counselling,19,3,15,Yes,No,Trust,5
L80,4,Civil,8.66,6-10L,After Application,20,2,23,No,No,Trust,8
L81,3,Civil,9.06,<3L,After Application,10,4,24,No,No,Job,9
L82,2,Mechanical,8.92,<3L,After Understanding,19,4,2,No,No,Time,6
L83,1,Civil,8.41,6-10L,Before Counselling,43,2,10,No,No,Trust,4
L84,2,Mechanical,7.2,<3L,After Understanding,12,4,7,No,No,Job,5
L85,2,IT,9.92,3-6L,After Understanding,10,3,19,Yes,Yes,Time,3
L86,3,ECE,7.85,10L+,After Counselling,7,3,12,No,Yes,Job,7
L87,3,ECE,6.01,6-10L,After Counselling,40,4,8,No,No,Trust,4
L88,4,Civil,6.46,<3L,Before Counselling,11,1,9,No,No,Time,7
L89,2,Civil,8.47,<3L,After Counselling,16,4,22,Yes,No,Trust,4
L90,1,IT,9.62,<3L,After Understanding,33,4,24,No,No,Job,1
L91,3,Mechanical,5.89,10L+,After Application,38,2,24,Yes,No,Fee,9
L92,3,ECE,5.41,10L+,After Counselling,17,3,4,No,No,Fee,7
L93,3,Mechanical,9.41,<3L,After Understanding,45,1,12,No,Yes,Job,8
L94,3,IT,9.58,3-6L,After Counselling,25,2,12,No,No,Difficulty,5
L95,2,ECE,6.38,6-10L,Before Counselling,42,2,3,No,No,Time,2
L96,3,ECE,6.89,<3L,After Counselling,31,1,16,No,Yes,Fee,2
L97,2,CSE,8.3,<3L,After Application,42,1,16,No,No,Job,1
L98,1,IT,6.65,<3L,Before Counselling,1,2,6,No,Yes,Difficulty,9
L99,1,IT,9.39,3-6L,After Counselling,39,4,21,Yes,Yes,Trust,7
L100,1,CSE,5.54,6-10L,After Application,20,1,9,No,Yes,Trust,4
L101,3,Mechanical,5.19,10L+,After Understanding,9,0,17,No,No,Trust,5
L102,2,CSE,6.04,<3L,After Counselling,43,1,13,No,No,Job,4
L103,3,IT,6.43,<3L,After Counselling,2,2,15,No,No,Time,3
L104,4,Mechanical,5.56,3-6L,After Understanding,1,0,22,No,Yes,Job,9
L105,2,ECE,5.33,6-10L,After Understanding,44,2,14,No,No,Difficulty,7
L106,2,CSE,8.78,3-6L,After Counselling,39,3,10,Yes,No,Time,2
L107,3,Mechanical,5.82,3-6L,After Application,5,3,8,Yes,Yes,Trust,2
L108,2,Mechanical,9.57,3-6L,After Understanding,12,4,18,No,No,Fee,7
L109,1,Mechanical,6.84,<3L,After Understanding,14,1,3,No,No,Fee,9
L110,2,CSE,8.35,3-6L,After Application,39,2,9,No,No,Fee,4
L111,1,ECE,6.13,10L+,After Counselling,32,0,14,No,No,Difficulty,6
L112,4,Mechanical,6.2,<3L,Before Counselling,40,1,9,No,Yes,Trust,6
L113,4,CSE,7.87,3-6L,After Counselling,46,4,19,No,No,Fee,9
L114,3,IT,7.8,<3L,After Counselling,44,2,14,Yes,No,Time,2
L115,4,CSE,8.84,3-6L,Before Counselling,9,2,24,No,No,Fee,2
L116,4,CSE,8.79,3-6L,After Counselling,42,3,9,No,No,Difficulty,5
L117,1,CSE,8.35,3-6L,After Counselling,42,4,17,No,No,Fee,3
L118,4,Mechanical,7.25,6-10L,After Understanding,33,2,21,No,No,Difficulty,5
L119,3,CSE,9.45,<3L,After Application,25,3,4,Yes,Yes,Difficulty,7
L120,4,IT,8.11,3-6L,After Counselling,38,3,16,No,No,Time,1
L121,4,Mechanical,9.95,<3L,Before Counselling,14,0,11,No,No,Difficulty,4
L122,2,IT,9.1,6-10L,Before Counselling,9,4,19,No,Yes,Job,4
L123,1,Civil,5.22,<3L,After Understanding,27,4,20,No,No,Trust,4
L124,2,CSE,6.6,6-10L,After Counselling,44,2,3,Yes,No,Difficulty,3
L125,2,Mechanical,7.86,<3L,After Counselling,19,0,22,No,Yes,Job,4
L126,4,Mechanical,8.61,<3L,After Counselling,25,1,11,No,No,Job,7
L127,4,CSE,7.75,<3L,After Counselling,32,2,17,No,Yes,Fee,3
L128,1,ECE,8.93,10L+,Before Counselling,22,3,9,No,No,Time,9
L129,3,ECE,6.41,<3L,Before Counselling,29,1,8,No,No,Fee,8
L130,2,IT,5.92,<3L,After Understanding,28,1,5,No,No,Time,8
L131,2,CSE,5.27,<3L,After Counselling,44,2,10,No,No,Fee,5
L132,1,CSE,7.87,<3L,Before Counselling,13,0,3,Yes,No,Fee,3
L133,2,Civil,8.44,<3L,After Counselling,28,4,17,Yes,Yes,Job,2
L134,4,ECE,6.63,3-6L,After Application,3,0,8,No,No,Trust,4
L135,2,ECE,8.07,<3L,After Application,30,2,24,Yes,Yes,Job,2
L136,3,CSE,5.26,3-6L,Before Counselling,11,4,16,No,No,Fee,9
L137,3,IT,5.5,<3L,After Application,2,1,24,No,Yes,Trust,2
