Student_ID,College_Tier,Family_Income,Program_Type,Base_Price,Discount_%,Final_Price,Converted,Revenue
0,3,6-10L,GenAI,258573,0,258573.0,0,0.0
1,4,3-6L,AI,137241,20,109792.8,0,0.0
2,1,10L+,AI,107159,0,107159.0,0,0.0
3,3,3-6L,AI,148173,0,148173.0,1,148173.0
4,3,3-6L,AI,81098,0,81098.0,1,81098.0
5,4,3-6L,DS,182654,30,127857.79999999999,1,127857.79999999999
6,1,<3L,DS,267485,20,213988.0,1,213988.0
7,1,6-10L,AI,173580,0,173580.0,1,173580.0
8,3,3-6L,AI,274512,30,192158.4,0,0.0
9,2,3-6L,AI,258160,30,180712.0,1,180712.0
10,3,3-6L,DS,160951,0,160951.0,1,160951.0
11,3,6-10L,DS,261487,30,183040.9,1,183040.9
12,3,10L+,DS,187012,10,168310.80000000002,0,0.0
13,3,<3L,GenAI,57776,30,40443.2,1,40443.2
14,4,<3L,DS,72705,20,58164.0,1,58164.0
15,1,3-6L,AI,59805,20,47844.0,0,0.0
16,4,10L+,GenAI,94504,10,85053.6,1,85053.6
17,4,10L+,AI,233892,10,210502.80000000002,0,0.0
18,4,10L+,DS,47592,20,38073.6,0,0.0
19,3,10L+,GenAI,50166,40,30099.6,1,30099.6
20,2,3-6L,GenAI,174287,30,122000.9,1,122000.9
21,1,<3L,GenAI,39897,30,27927.899999999998,1,27927.899999999998
22,2,6-10L,GenAI,195740,40,117444.0,1,117444.0
23,4,3-6L,GenAI,261700,40,157020.0,1,157020.0
24,4,6-10L,AI,34622,10,31159.8,0,0.0
25,2,<3L,DS,204618,40,122770.79999999999,0,0.0
26,2,3-6L,GenAI,247419,20,197935.2,1,197935.2
27,2,3-6L,GenAI,35524,30,24866.8,1,24866.8
28,4,10L+,GenAI,181179,0,181179.0,0,0.0
29,4,6-10L,GenAI,77780,10,70002.0,1,70002.0
30,1,6-10L,AI,297608,30,208325.59999999998,1,208325.59999999998
31,1,6-10L,AI,45321,0,45321.0,1,45321.0
32,4,10L+,AI,282975,40,169785.0,1,169785.0
33,2,10L+,AI,260826,20,208660.80000000002,1,208660.80000000002
34,2,10L+,AI,273707,0,273707.0,1,273707.0
35,1,10L+,GenAI,58947,10,53052.3,1,53052.3
36,4,3-6L,AI,214434,10,192990.6,1,192990.6
37,1,<3L,AI,168247,50,84123.5,1,84123.5
38,1,<3L,GenAI,177753,20,142202.4,1,142202.4
39,3,<3L,DS,262066,0,262066.0,0,0.0
40,3,6-10L,DS,252900,50,126450.0,0,0.0
41,3,6-10L,GenAI,227549,20,182039.2,0,0.0
42,2,<3L,GenAI,239231,50,119615.5,1,119615.5
43,4,3-6L,DS,101597,30,71117.9,1,71117.9
44,4,10L+,GenAI,161597,30,113117.9,0,0.0
45,4,<3L,GenAI,294782,40,176869.19999999998,0,0.0
46,4,6-10L,AI,185618,40,111370.8,0,0.0
47,3,6-10L,AI,84517,30,59161.899999999994,0,0.0
48,2,10L+,AI,297484,40,178490.4,1,178490.4
49,2,6-10L,DS,225849,0,225849.0,1,225849.0
50,3,6-10L,GenAI,110240,30,77168.0,1,77168.0
51,2,10L+,GenAI,81113,10,73001.7,1,73001.7
52,3,10L+,DS,274983,50,137491.5,1,137491.5
53,4,<3L,GenAI,226979,20,181583.2,1,181583.2
