Student_ID,College_Tier,Department,Module,Topic,Subtopic,Difficulty,Correct,Time_Taken,Attempts,Hint_Used,Test_Cases_Passed
15796,3,Civil,DS,Variables,Basic,Hard,1,247,3,1,11
861,3,Civil,Control,Lists,Intermediate,Hard,1,65,1,0,65
5391,4,Civil,Advanced,Arrays,Basic,Hard,1,185,3,0,2
11965,2,Civil,Functions,Files,Basic,Medium,0,193,2,0,50
11285,2,CSE,Advanced,Pandas,EdgeCases,Medium,1,135,1,1,11
6266,4,Civil,ProblemSolving,Loops,Intermediate,Easy,1,97,1,0,72
16851,1,ECE,ProblemSolving,Files,Basic,Hard,0,249,2,1,24
4427,4,ECE,Advanced,Functions,Basic,Easy,1,267,2,0,34
14424,4,CSE,DS_AI,Variables,Intermediate,Hard,1,187,1,0,11
11364,3,Mechanical,Control,Arrays,Basic,Easy,1,55,3,0,28
16024,1,CSE,Control,Lists,EdgeCases,Easy,0,236,1,1,2
8323,1,ECE,Functions,Classes,Intermediate,Easy,1,88,3,0,20
1686,4,CSE,Control,Loops,Basic,Medium,1,281,2,1,29
770,3,Mechanical,DS_AI,Loops,Intermediate,Easy,1,264,2,0,48
2434,4,Civil,Basics,Lists,Basic,Hard,0,131,1,1,16
5312,1,Mechanical,Basics,Pandas,Intermediate,Easy,1,126,3,1,38
5052,2,Civil,DS_AI,Classes,Intermediate,Easy,1,193,1,0,37
6421,3,Mechanical,ProblemSolving,Lists,Basic,Medium,1,130,3,0,13
17569,3,CSE,DS,Loops,EdgeCases,Medium,0,222,1,0,91
19770,3,ECE,ProblemSolving,Loops,EdgeCases,Medium,1,84,2,0,91
6397,4,CSE,Advanced,Files,EdgeCases,Medium,1,168,2,0,24
8667,2,Mechanical,DS_AI,Lists,Intermediate,Easy,1,291,2,0,3
18943,1,Civil,DS,Arrays,Basic,Hard,0,49,1,0,44
18432,2,Civil,Functions,Files,Basic,Medium,1,225,3,1,76
2748,1,ECE,DS_AI,Pandas,Basic,Easy,1,153,3,0,85
190,2,Mechanical,Control,Classes,Intermediate,Medium,0,91,2,0,73
19119,2,Mechanical,Functions,Loops,Basic,Medium,1,31,2,1,31
3006,3,CSE,DS,Variables,EdgeCases,Hard,1,57,1,1,64
1900,2,Civil,DS_AI,Classes,EdgeCases,Easy,0,273,2,0,91
1268,2,ECE,Functions,Files,EdgeCases,Medium,0,80,3,1,0
17913,1,Civil,Control,Loops,EdgeCases,Hard,0,168,2,0,89
11395,1,Civil,DS,Arrays,Intermediate,Easy,1,70,1,0,55
