Student_ID,College_Tier,Department,CGPA,Skill_Programs,Internships,Projects,Domain,Company_Tier,Job_Role,Salary_LPA,Applied,Shortlisted,Interview_Attended,Offer_Received,Joined,Round_1,Round_2,Round_3,Cleared_R1,Cleared_R2,Cleared_R3,Failed_Stage
0,3,ECE,6.41,0,2,6,DS,Startup,Data Analyst,4,1,0,1,0,0,Coding,Tech,HR,1,1,1,Selected
1,4,Civil,7.29,2,2,2,AI,Mid,GenAI Engineer,30,1,1,0,0,1,Aptitude,Tech,Tech,1,0,0,Round2
2,1,ECE,5.5,1,2,4,DS,Top,AI Engineer,34,1,1,0,0,0,Coding,Coding,Tech,1,1,0,Round3
3,3,Mechanical,7.23,1,0,2,AI,Top,AI Engineer,38,1,1,0,0,1,Coding,Coding,HR,1,0,1,Round2
4,3,CSE,6.02,2,0,1,DS,Mid,GenAI Engineer,33,1,1,1,0,0,Coding,Coding,HR,1,0,0,Round2
5,4,CSE,6.39,1,1,8,DS,Top,Data Analyst,38,1,1,0,0,0,Aptitude,Coding,Tech,1,0,0,Round2
6,1,ECE,7.39,2,1,8,GenAI,Startup,Data Analyst,16,1,0,1,0,1,GD,Tech,Tech,0,1,1,Round1
7,1,ECE,9.43,0,0,7,DS,Top,Data Analyst,35,1,1,1,1,0,Aptitude,Tech,Tech,1,0,0,Round2
8,3,Mechanical,7.89,0,2,2,DS,Mid,GenAI Engineer,8,1,1,1,1,0,Aptitude,Coding,Tech,0,0,1,Round1
9,2,ECE,5.09,2,0,9,GenAI,Mid,Data Analyst,14,1,0,1,1,1,GD,Tech,HR,1,0,0,Round2
10,3,ECE,5.72,0,0,9,AI,Mid,GenAI Engineer,35,1,1,1,1,1,Coding,Coding,HR,1,0,0,Round2
11,3,CSE,5.32,1,2,3,DS,Mid,Data Scientist,30,1,1,1,1,0,GD,Coding,HR,0,1,0,Round1
12,3,ECE,5.93,2,2,4,AI,Startup,Data Analyst,36,1,1,0,0,0,Coding,Coding,Tech,1,0,0,Round2
13,3,Civil,6.72,1,0,4,AI,Mid,Data Analyst,37,1,0,0,0,1,Coding,Tech,Tech,1,0,1,Round2
14,4,CSE,5.88,2,2,4,DS,Top,Data Scientist,26,1,1,0,0,1,Aptitude,Coding,Tech,1,0,0,Round2
15,1,ECE,7.31,2,0,8,AI,Top,Data Scientist,23,1,1,0,1,0,Aptitude,Tech,HR,1,1,0,Round3
16,4,Civil,9.12,2,2,9,AI,Top,Data Scientist,21,1,1,0,1,0,Aptitude,Coding,HR,0,0,0,Round1
17,4,Mechanical,9.13,1,1,6,AI,Mid,GenAI Engineer,21,1,0,0,0,0,Coding,Tech,HR,0,1,1,Round1
18,4,ECE,6.7,1,2,9,AI,Top,Data Analyst,6,1,1,1,1,0,GD,Tech,HR,1,1,0,Round3
19,3,ECE,6.63,0,2,8,AI,Mid,Data Scientist,19,1,1,0,0,0,GD,Coding,Tech,0,0,0,Round1
20,2,Mechanical,8.73,0,0,2,GenAI,Startup,Data Scientist,33,1,1,0,0,0,Aptitude,Tech,Tech,0,0,1,Round1
21,1,Civil,7.08,0,2,2,DS,Top,AI Engineer,7,1,1,1,1,0,Aptitude,Tech,Tech,0,1,0,Round1
22,2,Civil,9.85,0,1,5,GenAI,Mid,Data Analyst,22,1,0,1,0,1,Coding,Tech,HR,1,0,0,Round2
23,4,Civil,7.22,0,0,9,AI,Top,AI Engineer,13,1,1,0,0,0,Coding,Coding,Tech,1,0,1,Round2
24,4,Civil,6.22,2,1,6,AI,Mid,GenAI Engineer,24,1,1,1,0,1,Coding,Tech,HR,1,0,0,Round2
25,2,Mechanical,5.05,1,0,8,DS,Mid,GenAI Engineer,14,1,0,1,0,1,GD,Coding,HR,0,0,1,Round1
26,2,Civil,9.77,2,1,6,AI,Top,AI Engineer,30,1,1,1,1,1,Coding,Tech,HR,0,0,1,Round1
27,2,Mechanical,5.59,2,0,8,DS,Top,Data Scientist,5,1,1,1,0,1,Aptitude,Coding,Tech,0,0,1,Round1
28,4,Civil,5.88,1,2,6,AI,Startup,Data Analyst,5,1,1,1,1,0,Aptitude,Tech,Tech,0,1,1,Round1
29,4,Mechanical,5.19,0,1,5,GenAI,Mid,GenAI Engineer,15,1,1,1,1,0,Aptitude,Tech,Tech,0,1,1,Round1
30,1,Civil,7.32,1,1,3,DS,Startup,AI Engineer,21,1,0,1,1,0,Aptitude,Tech,Tech,1,0,1,Round2
31,1,Mechanical,7.04,0,0,5,AI,Mid,GenAI Engineer,19,1,1,1,0,0,Coding,Tech,HR,0,0,0,Round1
32,4,ECE,9.08,2,1,6,AI,Startup,GenAI Engineer,28,1,1,1,1,0,Aptitude,Coding,Tech,1,1,0,Round3
33,2,Civil,7.78,0,2,2,GenAI,Top,Data Scientist,4,1,1,1,1,0,Aptitude,Coding,HR,1,0,0,Round2
34,2,Civil,7.91,0,2,2,GenAI,Mid,AI Engineer,32,1,1,1,0,0,GD,Tech,Tech,1,0,0,Round2
35,1,Mechanical,8.95,1,0,5,DS,Mid,GenAI Engineer,8,1,0,1,0,0,Coding,Coding,HR,1,1,1,Selected
36,4,ECE,7.91,2,1,6,GenAI,Top,Data Analyst,20,1,0,1,0,1,Coding,Coding,HR,0,0,1,Round1
37,1,ECE,7.83,0,0,1,GenAI,Mid,Data Scientist,24,1,1,1,0,0,GD,Tech,Tech,1,1,0,Round3
38,1,Mechanical,9.64,0,0,5,GenAI,Top,Data Scientist,29,1,1,1,0,0,Aptitude,Tech,Tech,1,1,1,Selected
39,3,CSE,7.19,1,1,2,DS,Startup,Data Analyst,11,1,1,1,0,0,Aptitude,Tech,Tech,1,0,0,Round2
40,3,Civil,8.17,0,2,5,DS,Top,AI Engineer,27,1,1,0,1,0,Aptitude,Coding,Tech,1,1,1,Selected
41,3,Civil,6.92,2,0,6,DS,Mid,Data Scientist,25,1,1,1,0,0,GD,Tech,HR,1,0,1,Round2
42,2,ECE,8.25,1,0,8,GenAI,Mid,Data Analyst,13,1,0,1,0,0,Coding,Tech,Tech,0,0,1,Round1
43,4,Civil,5.05,1,1,8,GenAI,Mid,GenAI Engineer,36,1,1,1,0,1,Aptitude,Tech,HR,0,1,0,Round1
44,4,CSE,8.63,1,1,4,DS,Startup,AI Engineer,33,1,0,0,1,0,Aptitude,Tech,Tech,1,1,1,Selected
45,4,Mechanical,8.91,1,2,5,AI,Startup,AI Engineer,37,1,1,0,1,1,GD,Coding,Tech,1,1,1,Selected
46,4,Mechanical,9.39,1,0,5,DS,Top,AI Engineer,13,1,1,0,0,1,Coding,Coding,HR,0,0,0,Round1
47,3,Mechanical,7.5,2,1,9,AI,Top,GenAI Engineer,9,1,1,1,0,0,Aptitude,Tech,Tech,1,0,1,Round2
48,2,Civil,6.43,1,2,7,AI,Startup,Data Scientist,23,1,1,0,0,0,GD,Coding,Tech,0,0,1,Round1
49,2,ECE,8.65,2,1,5,DS,Startup,GenAI Engineer,25,1,1,1,1,0,Coding,Coding,Tech,1,1,1,Selected
50,3,CSE,9.75,1,2,7,AI,Mid,AI Engineer,38,1,1,0,1,1,GD,Tech,HR,0,1,1,Round1
51,2,ECE,8.85,1,2,1,DS,Startup,Data Analyst,32,1,1,1,1,0,GD,Tech,HR,1,0,0,Round2
52,3,Mechanical,9.56,0,2,3,DS,Top,AI Engineer,4,1,1,0,0,0,GD,Tech,HR,1,0,0,Round2
53,4,CSE,5.6,1,0,4,AI,Mid,Data Scientist,16,1,0,0,0,0,Coding,Coding,Tech,1,1,0,Round3
54,3,Civil,9.62,1,1,3,DS,Mid,Data Scientist,5,1,1,1,0,1,Coding,Tech,Tech,1,1,0,Round3
55,4,CSE,8.55,0,2,8,GenAI,Mid,GenAI Engineer,23,1,0,1,0,0,GD,Tech,HR,0,0,1,Round1
56,4,Civil,9.11,1,1,8,AI,Top,AI Engineer,24,1,1,0,0,0,Coding,Coding,HR,0,0,0,Round1
57,1,Mechanical,7.1,0,2,9,DS,Mid,Data Scientist,6,1,1,1,0,0,Aptitude,Coding,HR,0,0,0,Round1
58,3,Mechanical,7.85,1,0,8,DS,Top,AI Engineer,22,1,0,1,0,0,GD,Tech,HR,0,0,0,Round1
59,1,Mechanical,8.07,2,0,9,AI,Top,Data Analyst,24,1,0,1,0,1,Coding,Coding,Tech,1,0,0,Round2
60,3,ECE,7.59,1,1,1,DS,Top,Data Scientist,31,1,1,1,0,0,Aptitude,Coding,Tech,1,0,1,Round2
61,3,CSE,5.48,2,0,1,GenAI,Top,AI Engineer,18,1,1,1,0,0,GD,Coding,HR,1,1,0,Round3
62,1,CSE,6.16,2,1,2,AI,Top,AI Engineer,37,1,1,1,0,0,Coding,Coding,HR,0,0,0,Round1
63,1,CSE,5.7,0,1,8,GenAI,Startup,AI Engineer,33,1,1,0,0,0,GD,Tech,Tech,1,1,1,Selected
64,3,Civil,9.14,2,2,6,AI,Top,Data Analyst,37,1,1,0,0,0,Coding,Tech,Tech,1,0,0,Round2
65,2,ECE,6.86,2,1,9,GenAI,Startup,Data Scientist,9,1,1,0,0,1,GD,Tech,HR,1,0,0,Round2
66,4,ECE,6.44,2,2,7,DS,Mid,Data Analyst,15,1,1,1,1,0,Coding,Coding,HR,1,1,0,Round3
