Student_ID,College_ID,Department,CGPA,Admission_Type,Skill_Program,Program_Duration,Bootcamps,Workshops,Hackathons,Internships,Projects,GenAI,ML,College_Tier,NAAC_Grade,NBA_Accredited,Placement_Probability,Placement_Status,Salary_LPA
0,36,Civil,7.75,Govt,1,33,3,2,1,0,8,1,2,4,A+,0,4.15,Not Placed,0
1,46,IT,9.85,Govt,1,8,4,6,3,1,1,2,2,4,A+,1,2.77,Not Placed,0
2,13,Civil,8.7,Govt,1,23,2,0,1,2,9,2,0,3,A+,0,5.239999999999999,Placed,19
3,2,IT,6.11,Govt,0,16,1,3,7,0,3,2,3,1,A++,1,2.122,Not Placed,0
4,0,IT,8.17,Govt,1,21,0,9,1,0,9,0,3,3,A,1,4.534,Not Placed,0
5,4,Other,6.73,Management,1,31,2,7,0,2,6,1,0,3,A,0,3.946,Not Placed,0
6,25,Mechanical,9.06,Management,0,8,4,7,1,1,2,1,2,2,A,0,2.712,Not Placed,0
7,54,CSE,5.86,Govt,0,16,3,9,1,2,1,1,0,3,A,1,2.072,Not Placed,0
8,13,Other,5.72,Govt,0,31,2,4,0,0,9,1,2,3,A+,0,3.8439999999999994,Not Placed,0
9,38,CSE,5.51,Govt,1,26,1,9,6,2,5,2,3,1,A+,0,3.4020000000000006,Not Placed,0
10,26,Other,7.72,Govt,1,17,3,7,5,1,6,1,0,2,A+,0,3.844,Not Placed,0
11,8,ECE,5.62,Govt,0,21,1,7,7,0,5,0,2,3,B++,1,2.624,Not Placed,0
12,14,Civil,5.21,Govt,0,26,2,0,7,2,10,2,1,4,A++,0,4.6419999999999995,Not Placed,0
13,14,Other,6.66,Govt,1,9,3,7,0,2,1,2,3,4,A++,0,2.4320000000000004,Not Placed,0
14,25,Mechanical,8.99,Management,1,20,4,5,0,1,11,1,2,2,A,0,5.598,Placed,10
15,41,CSE,5.78,Management,1,22,4,7,7,1,11,1,1,3,A+,0,4.9559999999999995,Not Placed,0
16,59,ECE,6.79,Management,0,26,2,1,5,0,10,2,0,1,A++,0,4.3580000000000005,Not Placed,0
17,12,Mechanical,7.18,Management,0,33,4,6,5,2,1,2,2,3,A++,0,2.336,Not Placed,0
18,50,IT,9.38,Govt,0,13,4,5,4,0,4,2,3,3,B++,1,3.0760000000000005,Not Placed,0
19,31,CSE,7.38,Govt,0,14,0,8,7,1,5,1,3,1,B++,0,3.276,Not Placed,0
20,38,Other,7.56,Govt,0,27,3,8,5,2,3,1,0,1,A+,0,3.012,Not Placed,0
21,48,Civil,6.27,Management,1,21,3,8,5,2,11,1,1,2,A+,0,5.354,Placed,10
22,51,Mechanical,8.34,Govt,1,17,1,0,3,1,5,1,2,2,A,0,3.668,Not Placed,0
