Student_ID,College_Name,College_Tier,Department,CGPA,Domain,Program_Type,Program_Duration,Program_Completed,Hackathons_Attended,Project_Demo_Events,Workshops_Attended,Python_Projects,DataScience_Projects,BI_Projects,ML_Projects,DL_Projects,NLP_Projects,GenAI_Projects,AgenticAI_Projects,Posts_Per_Month,Posts_Per_Quarter,Posts_Per_Year,Project_Demo_Posts,Post_Type,Post_Category,Has_Github_Link,Has_App_Link,Avg_Likes_Current,Avg_Likes_Previous,Followers,Leads_Generated,Job_Inquiries,Like_Growth_%,Engagement_Rate,Project_Variation_Score,Demo_to_Post_Ratio,Posting_Consistency_Score,Exposure_Score,Execution_Score,Visibility_Score,Missing_Score,Completeness_Score,Placement_Readiness_Score
0,Tier3_College,3.0,ECE,9.86,GenAI,Internship,3,1,9,7,5,3,2,0,2,0,2,2,0,11,18,55,6,,Learning,1.0,0.0,546.0,867,3750,77,48.0,-0.36981566820276496,0.14556118368435084,5,0.75,1.375,21,14,6006,0.024390243902439025,0.975609756097561,50.76209756097561
1,Tier4_College,4.0,Civil,6.75,DS,Bootcamp,10,1,5,9,7,4,0,1,1,2,0,1,0,3,15,24,8,,Internship,0.0,0.0,1855.0,144,4904,194,,11.8,0.3781855249745158,5,0.8,0.375,21,19,5565,0.04878048780487805,0.9512195121951219,55.07719512195122
2,Tier2_Engg,4.0,nan,6.52,GenAI,Internship,6,0,4,8,3,3,3,2,3,1,2,2,1,2,28,96,2,,Achievement,1.0,1.0,,1467,4914,112,39.0,0.31471389645776565,0.39247202441505596,8,0.2222222222222222,0.25,15,23,3858,0.04878048780487805,0.9512195121951219,51.37019512195121
3,Tier4_College,4.0,Mechanical,7.55,AI,Workshop,3,1,8,4,5,2,0,2,2,1,0,2,1,8,14,111,9,,Internship,1.0,,506.0,556,6278,183,26.0,-0.08976660682226212,0.08058608058608059,6,1.8,1.0,17,13,4048,0.04878048780487805,0.9512195121951219,43.560195121951224
4,Tier4_College,2.0,ECE,6.39,DS,Workshop,9,1,4,8,0,0,3,0,1,1,1,1,1,2,10,38,6,Image,Internship,1.0,1.0,,165,7942,189,38.0,6.4156626506024095,0.15485332997607956,6,0.6666666666666666,0.25,12,17,2460,0.024390243902439025,0.975609756097561,41.21609756097561
5,NIT,,nan,6.36,nan,Fellowship,7,1,3,2,7,4,4,1,1,0,1,0,0,6,22,50,5,Text,Learning,1.0,0.0,907.0,1183,2202,190,10.0,-0.23310810810810811,0.4117113027689514,5,1.6666666666666667,0.75,12,18,5442,0.024390243902439025,0.975609756097561,45.19809756097561
6,Tier2_Engg,3.0,nan,9.83,DS,Workshop,6,1,0,6,4,0,1,1,0,1,0,1,1,6,9,48,2,,Achievement,,0.0,682.0,882,6134,173,19.0,-0.22650056625141562,0.11116544417277914,5,0.2857142857142857,0.75,10,11,4092,0.04878048780487805,0.9512195121951219,34.60419512195122
7,Tier2_Engg,1.0,nan,6.31,GenAI,Internship,4,0,5,3,6,3,3,3,2,1,2,0,1,3,25,75,1,Image,Learning,,0.0,1677.0,1482,7985,176,9.0,0.13149022252191503,0.20999248685199098,7,0.25,0.375,14,19,5031,0.024390243902439025,0.975609756097561,47.78709756097561
8,Tier2_Engg,2.0,Civil,8.03,nan,Internship,4,1,2,0,0,0,0,3,2,2,1,0,1,11,20,34,4,nan,Project,1.0,0.0,1220.0,727,5167,14,16.0,0.6771978021978022,0.23606811145510836,5,4.0,1.375,2,13,13420,0.0,1.0,38.42
9,Tier4_College,1.0,IT,5.19,,Internship,4,0,0,0,5,3,4,2,3,1,2,2,0,11,5,14,8,Text,Learning,0.0,0.0,1754.0,22,6840,127,,75.30434782608695,0.2563952638503143,7,8.0,1.375,5,21,19294,0.04878048780487805,0.9512195121951219,54.80619512195122
10,Tier3_College,1.0,ECE,5.77,,Bootcamp,5,0,5,5,0,1,3,3,4,1,2,0,0,8,11,92,2,Video,Internship,1.0,0.0,1990.0,1141,5387,173,43.0,0.7434325744308231,0.3693392724573126,6,0.3333333333333333,1.0,10,19,15920,0.024390243902439025,0.975609756097561,54.67609756097561
11,Tier2_Engg,2.0,nan,5.11,,Bootcamp,1,0,1,2,7,3,1,3,4,1,0,2,0,5,27,54,2,Video,Achievement,0.0,0.0,1087.0,884,3851,73,,0.22937853107344633,0.28219106957424717,6,0.6666666666666666,0.625,10,15,5435,0.04878048780487805,0.9512195121951219,39.947195121951225
12,Tier4_College,1.0,IT,7.67,DS,Workshop,7,1,1,7,2,1,0,0,1,1,0,1,1,2,18,31,6,nan,Learning,0.0,0.0,,1395,717,178,,-0.12320916905444126,1.7033426183844012,5,0.75,0.25,10,12,2446,0.04878048780487805,0.9512195121951219,33.95819512195122
13,NIT,3.0,nan,7.46,nan,Fellowship,9,1,3,6,3,2,1,1,3,2,1,0,0,1,21,118,9,,Learning,1.0,0.0,,846,6100,121,40.0,-0.5182998819362455,0.06671037534830355,6,1.2857142857142858,0.125,12,19,407,0.04878048780487805,0.9512195121951219,40.91919512195122
