Program_Type,Mode,Duration,Hours,Subjects,Projects,Tools,Cost,Faculty_Experience,Faculty_Degree,Industry_Background,Company_Background,College_Tier,CGPA,Skill_Before,Skill_After,Placement,Salary,Skill_Improvement,ROI
FullStack,Offline,2,449,3,6,1,31043,17,MTech,1,Mid,4,6.3,0,2,1,16,2,51.541410301839385
DataScience,Hybrid,34,136,8,6,12,141713,15,BTech,0,Mid,4,8.04,0,1,1,19,1,13.407379704049735
GenAI,Hybrid,33,475,13,9,14,150109,4,MTech,0,Startup,4,6.47,1,2,1,6,1,3.9970954439773765
DataScience,Online,8,202,3,7,2,196358,18,PhD,0,Top,2,6.1,0,2,0,7,2,3.564917141140162
DataScience,Online,28,126,6,3,12,137348,3,PhD,0,Top,2,7.88,0,3,1,3,3,2.1842327518420364
Advanced,Online,6,437,7,8,2,300158,3,BTech,1,Top,4,5.66,1,2,1,12,1,3.9978944422604092
GenAI,Offline,7,469,14,4,11,25478,14,PhD,1,Mid,2,6.62,2,2,0,21,0,82.42405212340059
GenAI,Offline,1,275,11,3,6,268312,16,MTech,1,Startup,4,9.83,2,2,1,6,0,2.2362026297742923
GenAI,Online,6,90,9,5,9,83241,19,PhD,0,Top,2,8.05,2,3,0,5,1,6.006655374154564
DataScience,Hybrid,21,278,5,5,14,128522,14,BTech,1,Startup,2,9.26,0,1,1,17,1,13.227307387062137
FullStack,Hybrid,30,406,6,1,10,152712,10,PhD,0,Top,2,7.06,2,3,1,8,1,5.238619100005239
GenAI,Hybrid,32,498,13,1,10,398818,10,BTech,0,Top,3,7.19,2,3,0,10,1,2.5074093947615204
DataScience,Online,21,367,10,6,6,320925,4,PhD,1,Top,2,5.2,1,2,1,11,1,3.4275921165381322
Advanced,Offline,30,443,4,9,11,318405,16,BTech,1,Mid,3,9.36,1,1,0,9,0,2.8265887784425496
FullStack,Online,11,398,11,1,2,366232,9,BTech,1,Startup,1,5.09,0,2,1,24,2,6.553223093558182
Advanced,Hybrid,17,242,10,8,11,129973,7,PhD,0,Top,3,8.62,1,2,1,5,1,3.846952828664415
FullStack,Online,21,397,3,1,3,247659,4,MTech,1,Mid,1,6.1,1,2,1,5,1,2.0189050266697355
DataScience,Online,12,375,11,6,12,354545,13,BTech,0,Top,3,8.14,2,1,1,8,-1,2.256413149247627
Basic,Hybrid,1,369,4,4,2,352109,5,PhD,1,Top,1,7.49,1,2,0,3,1,0.8520088949728635
FullStack,Hybrid,12,296,7,4,14,360220,13,MTech,0,Top,3,6.06,0,2,1,5,2,1.3880406418299929
Advanced,Offline,33,224,13,8,2,39947,6,PhD,1,Mid,1,8.99,2,3,0,3,1,7.509950684657171
DataScience,Hybrid,31,289,3,4,13,240016,15,MTech,0,Startup,1,5.56,0,3,1,20,3,8.332777814812346
FullStack,Online,15,165,12,6,11,171814,13,PhD,1,Top,1,8.93,0,3,1,9,3,5.238222729230447
Basic,Hybrid,14,386,9,4,3,140466,4,PhD,1,Mid,4,6.67,0,1,0,22,1,15.662153118904218
Basic,Online,6,447,8,1,13,362773,5,PhD,1,Startup,2,9.81,1,3,0,13,2,3.5835081442113936
GenAI,Hybrid,34,91,6,5,10,253659,18,BTech,0,Top,3,5.69,0,1,0,23,1,9.067291127064287
GenAI,Offline,28,254,7,3,4,188225,10,MTech,0,Top,2,7.33,2,2,0,19,0,10.094302032142384
Advanced,Offline,25,336,10,3,13,171816,8,MTech,0,Startup,4,8.07,0,3,0,20,3,11.640359454299949
FullStack,Online,11,279,5,1,9,275122,16,MTech,0,Startup,1,7.86,2,1,1,15,-1,5.452126692885338
FullStack,Offline,21,230,6,5,2,30592,5,BTech,1,Top,3,8.37,1,3,0,8,2,26.15062761506276
GenAI,Online,2,489,6,4,14,385476,2,MTech,1,Top,1,8.42,1,1,1,11,0,2.8536147516317487
FullStack,Offline,9,420,14,6,7,143506,7,MTech,1,Startup,3,5.17,0,2,1,8,2,5.574679804328738
FullStack,Offline,21,483,7,4,14,67268,2,MTech,0,Startup,1,6.91,1,3,1,9,2,13.379318546708689
Basic,Hybrid,34,169,13,2,13,188944,3,MTech,1,Top,2,6.15,2,3,0,4,1,2.117029384367855
GenAI,Hybrid,33,147,8,7,8,75104,13,BTech,0,Top,2,9.59,2,2,1,15,0,19.972305070302514
DataScience,Offline,26,256,9,9,4,50442,12,PhD,0,Startup,1,5.48,2,1,1,18,-1,35.68454859046033
GenAI,Online,1,440,10,5,4,221108,10,MTech,0,Top,4,6.24,2,3,0,18,1,8.140818061761673
DataScience,Offline,21,383,9,2,11,43328,7,MTech,0,Mid,3,7.27,2,2,1,19,0,43.85155096011817
